"REF_DATE","GEO","DGUID","Type of service","Air carrier levels","Operating statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Number of carriers included","Number","223","units","0","v122615158","1.1.1.1","98","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Passengers","Number","223","thousands","3","v122615159","1.1.1.2","66867","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Goods carried","Kilograms","192","thousands","3","v122615160","1.1.1.3","747275","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Passenger-kilometres","Number","223","thousands","3","v122615161","1.1.1.4","156022960","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615162","1.1.1.5","15602296","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615163","1.1.1.6","2282826","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615164","1.1.1.7","17885122","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Hours flown","Number","223","thousands","3","v122615165","1.1.1.8","2811","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Number of carriers included","Number","223","units","0","v122615957","1.1.2.1","25","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Passengers","Number","223","thousands","3","v122615166","1.1.2.2","65221","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Goods carried","Kilograms","192","thousands","3","v122615167","1.1.2.3","683191","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Passenger-kilometres","Number","223","thousands","3","v122615168","1.1.2.4","155046543","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615169","1.1.2.5","15504654","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615170","1.1.2.6","2254122","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615171","1.1.2.7","17758776","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Hours flown","Number","223","thousands","3","v122615172","1.1.2.8","2348","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Number of carriers included","Number","223","units","0","v122615958","1.1.3.1","73","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Passengers","Number","223","thousands","3","v122615173","1.1.3.2","1646","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Goods carried","Kilograms","192","thousands","3","v122615174","1.1.3.3","64084","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Passenger-kilometres","Number","223","thousands","3","v122615175","1.1.3.4","976417","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615176","1.1.3.5","97642","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615177","1.1.3.6","28704","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615178","1.1.3.7","126346","","","","0"
"2012","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Hours flown","Number","223","thousands","3","v122615179","1.1.3.8","463","","","","0"
"2012","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Passengers","Number","223","thousands","3","v122615180","1.2.1.2","62348","","","","0"
"2012","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Goods carried","Kilograms","192","thousands","3","v122615181","1.2.1.3","447692","","","","0"
"2012","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Passenger-kilometres","Number","223","thousands","3","v122615182","1.2.1.4","147361221","","","","0"
"2012","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615183","1.2.1.5","14736122","","","","0"
"2012","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615184","1.2.1.6","1961250","","","","0"
"2012","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615185","1.2.1.7","16697372","","","","0"
"2012","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Hours flown","Number","223","thousands","3","v122615186","1.2.1.8","2256","","","","0"
"2012","Canada","2016A000011124","Scheduled services","Canadian air carriers, Levels I and II","Passengers","Number","223","thousands","3","v122615187","1.2.2.2","61955","","","","0"
"2012","Canada","2016A000011124","Scheduled services","Canadian air carriers, Levels I and II","Goods carried","Kilograms","192","thousands","3","v122615188","1.2.2.3","437682","","","","0"
"2012","Canada","2016A000011124","Scheduled services","Canadian air carriers, Levels I and II","Passenger-kilometres","Number","223","thousands","3","v122615189","1.2.2.4","147123943","","","","0"
"2012","Canada","2016A000011124","Scheduled services","Canadian air carriers, Levels I and II","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615190","1.2.2.5","14712394","","","","0"
"2012","Canada","2016A000011124","Scheduled services","Canadian air carriers, Levels I and II","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615191","1.2.2.6","1956193","","","","0"
"2012","Canada","2016A000011124","Scheduled services","Canadian air carriers, Levels I and II","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615192","1.2.2.7","16668588","","","","0"
