"REF_DATE","GEO","DGUID","Air carrier levels","Operating revenue and expenses","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total, operating revenue, scheduled and charter services","Dollars","81","thousands","3","v122615327","1.1.1","20343071","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total, scheduled services","Dollars","81","thousands","3","v122615328","1.1.2","17339379","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Passengers, scheduled services","Dollars","81","thousands","3","v122615329","1.1.3","16436593","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Goods, scheduled services","Dollars","81","thousands","3","v122615330","1.1.4","902786","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total, charter services","Dollars","81","thousands","3","v122615331","1.1.5","1966571","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Passengers, charter services","Dollars","81","thousands","3","v122615332","1.1.6","1644789","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Goods, charter services","Dollars","81","thousands","3","v122615333","1.1.7","321781","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other flight - related revenue","Dollars","81","thousands","3","v122615334","1.1.8","80388","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other revenue","Dollars","81","thousands","3","v122615335","1.1.9","956733","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total, operating expenses","Dollars","81","thousands","3","v122615336","1.1.10","19249356","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Maintenance, ground property and equipment","Dollars","81","thousands","3","v122615337","1.1.11","218175","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Aircraft operations","Dollars","81","thousands","3","v122615338","1.1.12","10493526","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Maintenance, flight equipment","Dollars","81","thousands","3","v122615339","1.1.13","1960516","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Depreciation","Dollars","81","thousands","3","v122615340","1.1.14","1063670","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other expenses","Dollars","81","thousands","3","v122615341","1.1.15","5513470","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Net income (loss)","Dollars","81","thousands","3","v122615342","1.1.16","692792","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating income (loss), net","Dollars","81","thousands","3","v122615343","1.1.17","1093715","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Non-operating income (loss), net","Dollars","81","thousands","3","v122615344","1.1.18","-263121","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Interest and discount income","Dollars","81","thousands","3","v122615345","1.1.19","159172","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Interest expenses","Dollars","81","thousands","3","v122615346","1.1.20","394998","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other non-operating income (loss), net","Dollars","81","thousands","3","v122615347","1.1.21","-27296","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Provision for income taxes","Dollars","81","thousands","3","v122615348","1.1.22","137802","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Income (loss) before provision for income taxes","Dollars","81","thousands","3","v122615349","1.1.23","830594","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total, operating revenue, scheduled and charter services","Dollars","81","thousands","3","v122615350","1.2.1","19051590","","","","0"
