"REF_DATE","GEO","DGUID","Air carrier levels","Balance sheet","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total assets","Dollars","81","thousands","3","v122615455","1.1.1","16920264","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Current assets","Dollars","81","thousands","3","v122615456","1.1.2","5770421","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other financial assets","Dollars","81","thousands","3","v122615457","1.1.3","1603138","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating property and equipment","Dollars","81","thousands","3","v122615458","1.1.4","13434205","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615459","1.1.5","5156779","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Non-operating property and equipment","Dollars","81","thousands","3","v122615460","1.1.6","152626","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Less: accumulated depreciation and amortization","Dollars","81","thousands","3","v122615461","1.1.7","42814","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other assets","Dollars","81","thousands","3","v122615462","1.1.8","1159466","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total liabilities and capital","Dollars","81","thousands","3","v122615463","1.1.9","16920264","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total liabilities","Dollars","81","thousands","3","v122615464","1.1.10","16603401","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Current liabilities","Dollars","81","thousands","3","v122615465","1.1.11","5436058","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Advances from associated companies and/or shareholders","Dollars","81","thousands","3","v122616444","1.1.12","217801","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Long-term debt and other non-current liabilities","Dollars","81","thousands","3","v122615466","1.1.13","9945653","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Deferred income taxes","Dollars","81","thousands","3","v122615467","1.1.14","514788","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other liabillities","Dollars","81","thousands","3","v122615468","1.1.15","489102","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Total shareholders equity","Dollars","81","thousands","3","v122615469","1.1.16","316862","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Number of carriers included","Number","223","units","0","v122615470","1.1.17","98","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Capital stock","Dollars","81","thousands","3","v122615471","1.1.18","2799140","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Retained earnings","Dollars","81","thousands","3","v122615472","1.1.19","-2643483","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","All other items","Dollars","81","thousands","3","v122615473","1.1.20","161205","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Total assets","Dollars","81","thousands","3","v122615474","1.2.1","15911642","","","","0"
