"REF_DATE","GEO","DGUID","Air carrier levels","Productivity measures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating revenue per employee","Dollars","81","units","0","v122615449","1.1.1","374022","","","","0"
"2012","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615450","1.1.2","328831","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating revenue per employee","Dollars","81","units","0","v122615451","1.2.1","390401","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Levels I and II","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615452","1.2.2","363909","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Operating revenue per employee","Dollars","81","units","0","v122615453","1.3.1","231034","","","","0"
"2012","Canada","2016A000011124","Canadian air carriers, Level III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615454","1.3.2","22602","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating revenue per employee","Dollars","81","units","0","v122615449","1.1.1","376284","","","","0"
"2013","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615450","1.1.2","322947","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating revenue per employee","Dollars","81","units","0","v122615451","1.2.1","392253","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Levels I and II","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615452","1.2.2","356655","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Operating revenue per employee","Dollars","81","units","0","v122615453","1.3.1","235033","","","","0"
"2013","Canada","2016A000011124","Canadian air carriers, Level III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615454","1.3.2","24791","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating revenue per employee","Dollars","81","units","0","v122615449","1.1.1","401766","","","","0"
"2014","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615450","1.1.2","343008","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating revenue per employee","Dollars","81","units","0","v122615451","1.2.1","418796","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Levels I and II","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615452","1.2.2","379677","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Operating revenue per employee","Dollars","81","units","0","v122615453","1.3.1","255950","","","","0"
"2014","Canada","2016A000011124","Canadian air carriers, Level III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615454","1.3.2","29032","","","","0"
"2015","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating revenue per employee","Dollars","81","units","0","v122615449","1.1.1","411423","","","","0"
"2015","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615450","1.1.2","357667","","","","0"
"2015","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating revenue per employee","Dollars","81","units","0","v122615451","1.2.1","430147","","","","0"
