"REF_DATE","GEO","DGUID","Employment category","Air carrier levels","Employees and salary expenses","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Total, average number of employees","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100698","1.1.1.1","54390","","","","0"
"2012","Canada","2016A000011124","Total, average number of employees","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100699","1.1.1.2","3627839","","","","0"
"2012","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100670","1.1.2.1","48800","","","","0"
"2012","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100671","1.1.2.2","3320504","","","","0"
"2012","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100684","1.1.3.1","5590","","","","0"
"2012","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100685","1.1.3.2","307335","","","","0"
"2012","Canada","2016A000011124","Pilots and co-pilots","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100686","1.2.1.1","10236","","","","0"
"2012","Canada","2016A000011124","Pilots and co-pilots","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100687","1.2.1.2","1162763","","","","0"
"2012","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100658","1.2.2.1","7983","","","","0"
"2012","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100659","1.2.2.2","1033190","","","","0"
"2012","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100672","1.2.3.1","2253","","","","0"
"2012","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100673","1.2.3.2","129573","","","","0"
